word,meaning,pos,"example","example_ko","example2","example2_ko","collocation","collocation_ko",level,synonym
impetuous,성급한,adj,"His impetuous decision cost the firm dearly.","그의 성급한 결정은 회사에 큰 대가를 치르게 했다.","","","impetuous decision","성급한 결정",5,
implausible,믿기 어려운,adj,"The excuse sounded implausible at best.","그 변명은 아무리 좋게 봐도 믿기 어려웠다.","","","implausible excuse","믿기 어려운 변명",4,
implicit,암묵적인,adj,"There was an implicit agreement not to compete.","서로 경쟁하지 않기로 하는 암묵적인 합의가 있었다.","","","implicit bias","암묵적 편향",3,
imply,암시하다,v,"The tone of the email implies some frustration.","그 이메일의 어조는 약간의 불만을 암시한다.","Her silence seemed to imply that she disagreed.","그녀의 침묵은 그녀가 동의하지 않는다는 것을 암시하는 듯했다.","imply criticism","비판을 암시하다",2,suggest
impromptu,즉흥적인,adj,"She gave an impromptu update at the meeting.","그녀는 회의에서 즉흥적으로 업데이트를 전했다.","The band performed an impromptu concert in the park.","그 밴드는 공원에서 즉흥적인 콘서트를 열었다.","impromptu speech","즉흥 연설",2,spontaneous
inadvertent,의도치 않은,adj,"It was an inadvertent error in the spreadsheet.","그것은 스프레드시트에서 발생한 의도치 않은 오류였다.","","","inadvertent error","의도치 않은 실수",4,
inception,시작,n,"Sales have grown steadily since inception.","매출은 시작 이래 꾸준히 증가해 왔다.","","","since its inception","창설 이래로",3,
incessant,끊임없는,adj,"The incessant notifications hurt productivity.","끊임없는 알림이 생산성을 떨어뜨렸다.","","","incessant noise","끊임없는 소음",4,
incite,조장하다/부추기다,v,"The post seemed designed to incite outrage.","그 게시물은 분노를 부추기려고 만든 것처럼 보였다.","","","incite violence","폭력을 선동하다",4,
inclination,경향/성향,n,"He has an inclination toward risk-averse choices.","그는 위험을 피하는 선택을 하는 경향이 있다.","","","natural inclination","타고난 성향",4,
incoherent,조리에 맞지 않는,adj,"The draft report was incoherent in places.","그 초안 보고서는 군데군데 조리에 맞지 않았다.","","","incoherent speech","조리에 맞지 않는 말",4,
incompatible,양립할 수 없는,adj,"The two systems are simply incompatible.","두 시스템은 그야말로 양립할 수 없다.","","","incompatible with","~와 양립할 수 없는",3,
incongruous,어울리지 않는,adj,"The bright colors felt incongruous with the brand.","밝은 색상은 그 브랜드와 어울리지 않게 느껴졌다.","","","incongruous with the setting","배경과 어울리지 않는",5,
inconsequential,중요하지 않은,adj,"The typo was inconsequential to the final score.","그 오타는 최종 점수에 중요하지 않았다.","","","inconsequential detail","중요하지 않은 세부사항",4,
incorrigible,교정할 수 없는,adj,"He's an incorrigible procrastinator.","그는 고칠 수 없는 미루기 습관을 가지고 있다.","","","incorrigible optimist","구제불능의 낙천주의자",5,
incumbent,현직의/재임 중인,adj,"The incumbent manager will step down in June.","현직 매니저는 6월에 물러날 예정이다.","","","incumbent president","현직 대통령",4,
indict,기소하다,v,"Prosecutors moved to indict the former officer.","검찰은 전직 임원을 기소하기로 했다.","","","indict on charges","혐의로 기소하다",3,
indifferent,무관심한,adj,"Management seemed indifferent to the feedback.","경영진은 그 피드백에 무관심해 보였다.","He remained indifferent to the criticism of his work.","그는 자신의 작업에 대한 비판에 무관심한 태도를 유지했다.","indifferent to criticism","비판에 무관심한",2,apathetic
indigenous,토착의,adj,"The report cites indigenous farming methods.","그 보고서는 토착 농법을 인용한다.","The plant is indigenous to the rainforests of South America.","그 식물은 남미 열대 우림의 토착종이다.","indigenous peoples","원주민(토착민)",2,native
indignant,분개한,adj,"Customers were indignant about the price hike.","고객들은 가격 인상에 분개했다.","","","indignant response","분개한 반응",4,
indolent,나태한,adj,"The team grew indolent once sales plateaued.","매출이 정체되자 팀은 나태해졌다.","","","indolent lifestyle","나태한 생활방식",5,
indomitable,불굴의,adj,"Her indomitable spirit kept the project alive.","그녀의 불굴의 정신이 그 프로젝트를 살아있게 했다.","","","indomitable spirit","불굴의 정신",5,
inept,무능한,adj,"The rollout revealed some inept planning.","그 출시 과정에서 미숙한 계획이 드러났다.","His inept handling of the situation only made things worse.","그 상황에 대한 그의 무능한 대처는 상황을 더 악화시켰을 뿐이다.","inept manager","무능한 관리자",2,incompetent
inevitable,불가피한,adj,"A price increase now seems inevitable.","이제 가격 인상은 불가피해 보인다.","Given the tension, conflict seemed inevitable.","긴장 상태를 고려하면 갈등은 불가피해 보였다.","inevitable delay","불가피한 지연",2,unavoidable
infallible,절대 오류가 없는,adj,"No forecasting model is truly infallible.","어떤 예측 모델도 진정으로 절대 오류가 없지는 않다.","","","infallible method","절대 오류 없는 방법",3,
infer,추론하다,v,"We can infer intent from the pattern of edits.","우리는 수정 패턴에서 의도를 추론할 수 있다.","From her tone, I inferred that she was upset.","그녀의 어조에서 나는 그녀가 화가 났다고 추론했다.","infer the meaning","의미를 추론하다",2,deduce
ingenious,기발한,adj,"The engineer found an ingenious workaround.","그 엔지니어는 기발한 해결책을 찾아냈다.","","","ingenious idea","기발한 아이디어",3,
inherent,내재된,adj,"There is an inherent risk in any new venture.","어떤 신규 사업에든 내재된 위험이 있다.","","","inherent risk","내재된 위험",3,
innate,선천적인,adj,"She has an innate talent for negotiation.","그녀는 협상에 대한 선천적인 재능이 있다.","","","innate talent","타고난 재능",3,
innocuous,무해한,adj,"The update looked innocuous but broke the login.","그 업데이트는 무해해 보였지만 로그인 기능을 망가뜨렸다.","","","innocuous comment","악의 없는 발언",4,
innovative,혁신적인,adj,"The team pitched a genuinely innovative feature.","그 팀은 진정으로 혁신적인 기능을 제안했다.","The museum used an innovative approach to display ancient artifacts.","그 박물관은 고대 유물을 전시하는 데 혁신적인 방식을 사용했다.","innovative design","혁신적인 디자인",2,creative
insatiable,만족할 줄 모르는,adj,"He has an insatiable appetite for new data.","그는 새로운 데이터에 대해 만족할 줄 모르는 욕구를 지녔다.","","","insatiable appetite","만족을 모르는 식욕(욕구)",5,
insidious,은밀히 퍼지는/교묘한,adj,"Scope creep is an insidious project risk.","범위 확장은 은밀히 퍼지는 프로젝트 위험 요소다.","","","insidious disease","은밀히 퍼지는 질병",5,
insinuate,암시하다/넌지시 말하다,v,"He insinuated that the numbers were altered.","그는 수치가 조작되었다고 넌지시 암시했다.","","","insinuate wrongdoing","잘못을 넌지시 암시하다",5,
insolent,무례한,adj,"The client found the reply rather insolent.","고객은 그 답변이 다소 무례하다고 느꼈다.","","","insolent reply","무례한 대답",5,
instigate,부추기다/유발하다,v,"The leaked memo instigated a wave of complaints.","유출된 메모가 잇따른 항의를 부추겼다.","","","instigate a conflict","갈등을 부추기다",4,
insurmountable,극복할 수 없는,adj,"The debt seemed insurmountable at first.","그 부채는 처음에는 극복할 수 없어 보였다.","","","insurmountable obstacle","극복할 수 없는 장애물",4,
integral,필수적인,adj,"Testing is integral to the release process.","테스트는 출시 과정에서 필수적이다.","","","integral part","필수적인 부분",3,
integrity,진실성/온전함,n,"She is known for her professional integrity.","그녀는 직업적 진실성으로 유명하다.","","","academic integrity","학문적 진실성(성실성)",3,
intermittent,간헐적인,adj,"The server had intermittent connection issues.","그 서버는 간헐적인 연결 문제를 겪었다.","The patient reported intermittent chest pain over the past week.","환자는 지난 한 주 동안 간헐적인 흉통을 호소했다.","intermittent fasting","간헐적 단식",2,sporadic
intractable,다루기 어려운,adj,"The bug turned out to be strangely intractable.","그 버그는 이상하리만치 다루기 어려운 것으로 드러났다.","","","intractable problem","다루기 힘든 문제",5,
intransigent,비타협적인,adj,"The union stayed intransigent on the pay demand.","노조는 임금 요구에 대해 비타협적인 태도를 유지했다.","","","intransigent stance","비타협적인 태도",5,
intrepid,대담한,adj,"The intrepid team launched despite the risk.","그 대담한 팀은 위험을 무릅쓰고 출시를 강행했다.","","","intrepid explorer","대담한 탐험가",3,
intricate,복잡한,adj,"The pricing model is quite intricate.","그 가격 모델은 상당히 복잡하다.","The watchmaker assembled the intricate gears by hand.","그 시계공은 복잡한 톱니바퀴들을 손으로 조립했다.","intricate pattern","복잡한 무늬",2,complex
intrinsic,본질적인,adj,"The tool's intrinsic value lies in its simplicity.","그 도구의 본질적인 가치는 단순함에 있다.","","","intrinsic value","내재적 가치",3,
inundate,쇄도하게 하다,v,"Support was inundated with tickets after launch.","출시 이후 고객 지원팀에 문의가 쇄도했다.","","","inundated with requests","요청이 쇄도하다",3,
invariably,변함없이,adv,"He invariably arrives ten minutes early.","그는 변함없이 10분 일찍 도착한다.","","","invariably late","변함없이 늦는",4,
inveterate,상습적인,adj,"He's an inveterate optimist about deadlines.","그는 마감일에 대해 상습적인 낙관론자다.","","","inveterate liar","상습적인 거짓말쟁이",5,
irascible,화를 잘 내는,adj,"The irascible client demanded an instant refund.","화를 잘 내는 그 고객은 즉각적인 환불을 요구했다.","","","irascible boss","화를 잘 내는 상사",5,
irrevocable,취소할 수 없는,adj,"The decision to shut down is irrevocable.","폐업 결정은 되돌릴 수 없다.","","","irrevocable decision","취소할 수 없는 결정",4,
jeopardize,위태롭게 하다,v,"Missing this deadline could jeopardize the deal.","이 마감을 놓치면 그 거래가 위태로워질 수 있다.","One bad review could jeopardize the restaurant's reputation.","나쁜 후기 하나가 그 식당의 평판을 위태롭게 할 수 있다.","jeopardize the deal","거래를 위태롭게 하다",2,endanger
jubilant,매우 기뻐하는,adj,"The team was jubilant after the successful demo.","팀은 성공적인 시연 후 매우 기뻐했다.","","","jubilant crowd","매우 기뻐하는 군중",3,
judicious,신중한/사려 깊은,adj,"A judicious use of resources saved the budget.","자원의 신중한 활용이 예산을 지켜냈다.","","","judicious use","신중한 사용",4,
juxtapose,나란히 놓다,v,"The report juxtaposes last year's numbers.","그 보고서는 작년 수치를 나란히 놓고 비교한다.","","","juxtapose old and new","옛것과 새것을 나란히 놓다",5,
keen,열망하는/예리한,adj,"She is keen to take on more responsibility.","그녀는 더 많은 책임을 맡고 싶어 한다.","He has a keen interest in ancient history.","그는 고대 역사에 대해 열망하는 관심을 가지고 있다.","keen interest","깊은 관심(예리한 흥미)",2,eager
labyrinthine,복잡한/미로 같은,adj,"Approval requires a labyrinthine set of forms.","승인을 받으려면 미로처럼 복잡한 서류 절차를 거쳐야 한다.","","","labyrinthine bureaucracy","미로 같은 관료제",5,
laconic,말이 없는,adj,"His laconic reply left the room silent.","그의 짧고 무뚝뚝한 대답에 실내가 조용해졌다.","","","laconic reply","말이 없는(간결한) 대답",5,
lament,애도하다/한탄하다,v,"Analysts lamented the missed opportunity.","분석가들은 놓친 기회를 아쉬워했다.","","","lament the loss","상실을 한탄하다",3,
languid,나른한,adj,"The office had a languid mood on Friday.","금요일 사무실에는 나른한 분위기가 감돌았다.","","","languid afternoon","나른한 오후",5,
latent,잠재적인,adj,"There is latent demand in the overseas market.","해외 시장에는 잠재적인 수요가 있다.","","","latent talent","잠재적 재능",4,
laud,칭찬하다,v,"Reviewers lauded the app's clean design.","평론가들은 그 앱의 깔끔한 디자인을 칭찬했다.","","","highly lauded","크게 칭송받는",5,
lavish,풍성한/후한,adj,"They threw a lavish launch party downtown.","그들은 시내에서 호화로운 출시 파티를 열었다.","The couple received lavish gifts at their wedding.","그 부부는 결혼식에서 풍성한 선물을 받았다.","lavish praise","아낌없는 칭찬",2,generous
lenient,관대한,adj,"The new policy is more lenient on late fees.","새 정책은 연체료에 대해 더 관대하다.","The judge was surprisingly lenient with first-time offenders.","그 판사는 초범들에게 놀랍도록 관대했다.","lenient sentence","관대한 형량(가벼운 처벌)",2,tolerant
lethargic,무기력한,adj,"The team felt lethargic after the long sprint.","팀은 긴 스프린트 이후 무기력함을 느꼈다.","","","feel lethargic","무기력함을 느끼다",3,
levy,부과하다/징수하다,v,"The city plans to levy a new parking tax.","시는 새로운 주차세를 부과할 계획이다.","","","levy a tax","세금을 부과하다",3,
litigious,소송을 좋아하는,adj,"The market has become increasingly litigious.","그 시장은 점점 더 소송을 좋아하는 분위기로 변하고 있다.","","","litigious society","소송을 좋아하는 사회",5,
lucid,명료한,adj,"He gave a lucid explanation of the results.","그는 결과에 대해 명료한 설명을 해주었다.","","","lucid dream","자각몽",3,
lucrative,수익성이 좋은,adj,"They landed a lucrative overseas contract.","그들은 수익성이 좋은 해외 계약을 따냈다.","Investing early in the company turned out to be lucrative.","그 회사에 일찍 투자한 것은 수익성이 좋은 것으로 드러났다.","lucrative business","수익성 좋은 사업",2,profitable
lurk,숨어 있다,v,"Hidden costs often lurk in long contracts.","숨겨진 비용은 종종 긴 계약서 속에 숨어 있다.","Predators often lurk near the watering hole at night.","포식자들은 밤에 물웅덩이 근처에 숨어 있는 경우가 많다.","lurk in the shadows","그늘 속에 숨어 있다",1,skulk
magnanimous,관대한,adj,"She was magnanimous even after winning the case.","그녀는 소송에서 이긴 후에도 관대한 태도를 보였다.","","","magnanimous gesture","관대한 태도",5,
malicious,악의적인,adj,"The email contained malicious software.","그 이메일에는 악성 소프트웨어가 들어 있었다.","","","malicious intent","악의적인 의도",3,
malign,비방하다/악의적인,v,"He was accused of trying to malign a rival firm.","그는 경쟁사를 비방하려 했다는 혐의를 받았다.","","","malign a rival","경쟁자를 비방하다",5,
mandate,권한을 부여하다/명령,v,"The new law mandates annual safety reviews.","새 법은 연례 안전 점검을 의무화한다.","","","mandate masks","마스크 착용을 의무화하다",3,
mar,손상시키다,v,"A single error marred an otherwise perfect launch.","사소한 실수 하나가 그렇지 않았다면 완벽했을 출시를 망쳤다.","","","mar the occasion","행사를 망치다",3,
meager,빈약한,adj,"The team had a meager budget for the project.","그 팀은 프로젝트를 위한 빈약한 예산밖에 없었다.","The refugees survived on meager rations for weeks.","난민들은 몇 주 동안 빈약한 배급으로 버텼다.","meager salary","쥐꼬리만 한 월급",2,scant
mediate,중재하다,v,"HR was asked to mediate the dispute.","인사팀이 그 분쟁을 중재해 달라는 요청을 받았다.","A neutral third party was brought in to mediate the peace talks.","중립적인 제3자가 평화 회담을 중재하기 위해 초청되었다.","mediate a dispute","분쟁을 중재하다",2,intervene
mendacious,거짓된,adj,"The report contained several mendacious claims.","그 보고서에는 여러 거짓 주장이 담겨 있었다.","","","mendacious claim","거짓된 주장",5,
mercurial,변덕스러운,adj,"His mercurial temper made planning difficult.","그의 변덕스러운 성격 때문에 계획을 세우기 어려웠다.","","","mercurial temperament","변덕스러운 기질",5,
meticulous,꼼꼼한,adj,"She is meticulous about details in every report.","그녀는 모든 보고서의 세부 사항에 매우 꼼꼼하다.","","","meticulous attention to detail","세심한 주의(꼼꼼함)",3,
mitigate,완화하다,v,"New safeguards will mitigate the risk.","새로운 안전장치가 위험을 완화할 것이다.","","","mitigate risk","위험을 완화하다",3,
mock,조롱하다/모의의,v,"Please don't mock a colleague's first attempt.","동료의 첫 시도를 조롱하지 마세요.","The kids used to mock him for his accent.","아이들은 그의 억양 때문에 그를 조롱하곤 했다.","mock exam","모의고사",1,ridicule/tease
modest,겸손한/적당한,adj,"He gave a modest account of his achievements.","그는 자신의 성과를 겸손하게 이야기했다.","They live in a modest house near the edge of town.","그들은 마을 외곽 근처의 적당한 크기의 집에서 산다.","modest income","넉넉지 않은 소득",1,humble
mollify,달래다,v,"A discount helped mollify the angry customer.","할인이 화난 고객을 달래는 데 도움이 되었다.","","","mollify an angry customer","화난 고객을 달래다",5,
monotonous,단조로운,adj,"The task became monotonous after a few hours.","몇 시간이 지나자 그 작업은 단조로워졌다.","Reading the same report every day felt monotonous.","매일 같은 보고서를 읽는 것은 단조롭게 느껴졌다.","monotonous routine","단조로운 일상",2,tedious
morose,침울한,adj,"He seemed morose after the project was cancelled.","그는 프로젝트가 취소된 후 침울해 보였다.","","","morose expression","침울한 표정",4,
mundane,평범한,adj,"Most of the job involves fairly mundane tasks.","그 업무의 대부분은 상당히 평범한 일들로 이루어져 있다.","","","mundane tasks","평범한 일들",3,
mutinous,반항적인,adj,"The staff grew mutinous over the new hours.","직원들은 새 근무 시간에 반항적으로 변했다.","","","mutinous crew","반항적인 선원들",5,
naive,순진한,adj,"It was naive to expect no competition at all.","경쟁이 전혀 없을 것이라 기대한 것은 순진한 생각이었다.","He was naive enough to trust a stranger with his savings.","그는 낯선 사람에게 저축한 돈을 맡길 만큼 순진했다.","naive question","순진한 질문",1,innocent
negate,무효화하다,v,"One bad review can negate months of marketing.","나쁜 후기 하나가 몇 달간의 마케팅을 무효화할 수 있다.","","","negate the effect","효과를 무효화하다",4,
negligent,부주의한,adj,"The firm was found negligent in its oversight.","그 회사는 관리 소홀로 부주의하다는 판정을 받았다.","","","negligent homicide","과실치사",4,
nonchalant,무심한,adj,"He stayed nonchalant despite the bad news.","그는 나쁜 소식에도 무심한 태도를 유지했다.","","","nonchalant shrug","무심한 어깨짓",3,
notorious,악명 높은,adj,"The intersection is notorious for accidents.","그 교차로는 사고가 잦기로 악명 높다.","","","notorious criminal","악명 높은 범죄자",3,
nuance,미묘한 차이,n,"The translation missed a key cultural nuance.","그 번역은 중요한 문화적 뉘앙스를 놓쳤다.","","","subtle nuance","미묘한 뉘앙스",3,subtlety/shade
nullify,무효화하다,v,"The court moved to nullify the old contract.","법원은 그 기존 계약을 무효화하기로 했다.","","","nullify a contract","계약을 무효화하다",4,
obdurate,고집스러운,adj,"He remained obdurate despite the new evidence.","그는 새로운 증거에도 불구하고 고집을 꺾지 않았다.","","","obdurate refusal","고집스러운 거부",5,
obfuscate,모호하게 하다,v,"The report seemed written to obfuscate the loss.","그 보고서는 손실을 흐리기 위해 작성된 것처럼 보였다.","","","obfuscate the truth","진실을 모호하게 하다",5,
oblique,간접적인/에두른,adj,"He made an oblique reference to the layoffs.","그는 해고에 대해 에둘러 언급했다.","","","oblique reference","간접적인 언급",5,
obscure,불분명한/무명의,adj,"The clause was buried in obscure legal language.","그 조항은 불분명한 법률 용어 속에 묻혀 있었다.","","","obscure reference","잘 알려지지 않은 언급(암시)",3,
obsolete,구식의,adj,"The old software became obsolete overnight.","그 낡은 소프트웨어는 하룻밤 사이에 구식이 되었다.","","","obsolete technology","구식 기술",3,
obstinate,고집 센,adj,"He was obstinate about keeping the old process.","그는 기존 절차를 고수하는 데 고집을 부렸다.","","","obstinate refusal","고집 센 거부",4,
obviate,불필요하게 하다,v,"Automation obviates the need for manual checks.","자동화는 수동 점검의 필요성을 없애준다.","","","obviate the need for","~에 대한 필요성을 없애다",5,
odious,혐오스러운,adj,"Employees found the new policy simply odious.","직원들은 새 정책을 그야말로 혐오스럽게 여겼다.","","","odious task","혐오스러운 일",5,
officious,거들먹거리는/간섭하는,adj,"The officious assistant kept overruling decisions.","그 거들먹거리는 비서는 계속해서 결정을 뒤엎었다.","","","officious manner","거들먹거리는(간섭하는) 태도",5,
ominous,불길한,adj,"The falling numbers were an ominous sign.","하락하는 수치는 불길한 징조였다.","An ominous silence fell over the room before the announcement.","발표가 있기 전 방 안에는 불길한 침묵이 감돌았다.","ominous sign","불길한 징조",2,threatening
opaque,불투명한,adj,"The pricing structure felt deliberately opaque.","그 가격 구조는 일부러 불투명하게 만든 것처럼 느껴졌다.","","","opaque glass","불투명한 유리",3,
opportune,적절한/시기적절한,adj,"It was an opportune moment to raise prices.","가격을 인상하기에 적절한 시점이었다.","","","opportune moment","적절한(호기의) 순간",4,
opulent,호화로운,adj,"The new headquarters looked almost opulent.","새 본사는 거의 호화롭다고 할 만큼 보였다.","","","opulent mansion","호화로운 저택",3,
ostensible,표면적인,adj,"The ostensible reason was budget cuts.","표면적인 이유는 예산 삭감이었다.","","","ostensible reason","표면적인 이유",5,
ostentatious,과시하는,adj,"The office renovation felt a bit ostentatious.","사무실 리모델링은 다소 과시적으로 느껴졌다.","","","ostentatious display","과시하는 전시(과시)",5,
outlandish,기이한,adj,"The proposal sounded outlandish at first.","그 제안은 처음에는 기이하게 들렸다.","","","outlandish claim","기이한 주장",3,
overt,명백한,adj,"There was overt disagreement in the meeting.","그 회의에서는 명백한 의견 충돌이 있었다.","","","overt discrimination","노골적인 차별",3,
palpable,명백한/뚜렷한,adj,"Relief was palpable once the deal closed.","거래가 성사되자 안도감이 뚜렷하게 느껴졌다.","","","palpable tension","확연한 긴장감",4,
paradox,역설,n,"It's a paradox that cutting staff raised costs.","인원을 줄였는데 비용이 오히려 늘어난 것은 역설적이다.","","","a paradox of modern life","현대 생활의 역설",3,
paramount,가장 중요한,adj,"Data security is paramount for this client.","이 고객에게 데이터 보안은 가장 중요한 사안이다.","","","of paramount importance","무엇보다 중요한",4,
partisan,편파적인/열성 지지자,adj,"The debate quickly became partisan.","그 토론은 빠르게 편파적으로 흘러갔다.","","","partisan politics","당파적 정치",3,
pathetic,한심한/애처로운,adj,"The excuse sounded pathetic to the manager.","그 변명은 관리자에게 한심하게 들렸다.","His attempt to apologize was pathetic and half-hearted.","사과하려는 그의 시도는 한심하고 성의가 없었다.","pathetic excuse","한심한 변명",1,pitiful
paucity,부족,n,"There was a paucity of reliable data.","신뢰할 만한 데이터가 부족했다.","","","paucity of evidence","증거의 부족",5,
pejorative,경멸적인,adj,"He used a pejorative term for the competitor.","그는 경쟁사를 가리켜 경멸적인 표현을 사용했다.","","","pejorative term","경멸적인 용어",5,
penchant,애호/기호,n,"She has a penchant for detailed spreadsheets.","그녀는 세세한 스프레드시트를 유독 좋아한다.","","","a penchant for","~에 대한 애호",5,
perfunctory,대충하는,adj,"He gave a perfunctory nod and left.","그는 건성으로 고개를 끄덕이고는 자리를 떠났다.","","","perfunctory apology","대충 하는 사과",5,
peripheral,주변적인,adj,"That feature is peripheral to the main product.","그 기능은 주요 제품에서 주변적인 요소일 뿐이다.","","","peripheral vision","주변 시야",4,
permeate,침투하다,v,"A sense of urgency permeated the whole office.","긴박감이 사무실 전체에 스며들었다.","","","permeate society","사회에 침투하다",4,
pernicious,해로운,adj,"Micromanagement had a pernicious effect on morale.","마이크로매니지먼트는 사기에 해로운 영향을 미쳤다.","","","pernicious effects","해로운 영향",5,
perpetuate,영속시키다,v,"The policy only perpetuates the old problem.","그 정책은 기존 문제를 영속시킬 뿐이다.","","","perpetuate stereotypes","고정관념을 영속시키다",4,
perplex,당황하게 하다,v,"The vague instructions perplexed the new hires.","모호한 지침이 신입 직원들을 당황하게 만들었다.","","","perplex scientists","과학자들을 당황하게 하다",3,
persevere,인내하다,v,"The team persevered through several setbacks.","팀은 여러 차례의 좌절을 견디며 인내했다.","Despite the injury, she persevered and finished the marathon.","부상에도 불구하고 그녀는 인내하며 마라톤을 완주했다.","persevere despite setbacks","좌절에도 불구하고 인내하다",2,persist
pertinent,관련 있는,adj,"Please include only pertinent information.","관련 있는 정보만 포함해 주세요.","","","pertinent information","관련 있는 정보",4,
pervasive,만연한,adj,"There is a pervasive sense of uncertainty.","만연한 불확실감이 감돌고 있다.","","","pervasive influence","만연한 영향",4,
pessimistic,비관적인,adj,"He remained pessimistic about the merger.","그는 그 합병에 대해 계속 비관적이었다.","Even good news couldn't shake his pessimistic outlook.","좋은 소식조차 그의 비관적인 시각을 흔들지 못했다.","pessimistic outlook","비관적인 전망",1,gloomy
petulant,짜증을 잘 내는,adj,"The petulant reply surprised the whole team.","짜증 섞인 그 답변은 팀 전체를 놀라게 했다.","","","petulant child","짜증을 잘 내는 아이",5,
phenomenal,경이적인,adj,"The product had phenomenal first-week sales.","그 제품은 첫 주에 경이적인 판매량을 기록했다.","","","phenomenal success","경이적인 성공",3,
placate,달래다,v,"A refund helped placate the frustrated buyer.","환불이 불만을 품은 구매자를 달래는 데 도움이 되었다.","","","placate voters","유권자들을 달래다",4,
plausible,타당한/그럴듯한,adj,"That's a plausible explanation for the drop.","그것은 그 하락에 대한 타당한 설명이다.","","","plausible deniability","그럴듯한 부인(책임 회피)",3,
plight,어려운 처지,n,"The report highlighted the plight of small vendors.","그 보고서는 영세 판매자들의 어려운 처지를 조명했다.","","","the plight of refugees","난민들의 어려운 처지",3,
poignant,감동적인/절실한,adj,"The retiring manager gave a poignant speech.","퇴임하는 매니저는 감동적인 연설을 했다.","","","poignant reminder","가슴 아픈 상기",4,
polarize,양극화시키다,v,"The proposal polarized the whole department.","그 제안은 부서 전체를 양극화시켰다.","The election polarized the small town like never before.","그 선거는 그 작은 마을을 전례 없이 양극화시켰다.","polarizing figure","찬반이 극명하게 갈리는 인물",2,divide
ponder,깊이 생각하다,v,"She pondered the offer for a full week.","그녀는 그 제안을 일주일 내내 깊이 고민했다.","He sat by the window, pondering his next move.","그는 창가에 앉아 다음 행동을 깊이 생각했다.","ponder the options","선택지를 깊이 생각하다",2,contemplate
pragmatic,실용적인,adj,"They took a pragmatic approach to the budget.","그들은 예산에 실용적으로 접근했다.","","","pragmatic approach","실용적인 접근",3,
precarious,불안정한,adj,"The startup's finances remained precarious.","그 스타트업의 재정 상태는 계속 불안정했다.","","","precarious position","불안정한 상황",3,
precedent,전례,n,"There is no precedent for this kind of refund.","이런 종류의 환불에는 전례가 없다.","","","set a precedent","전례를 남기다",3,
precipitate,촉발하다/성급한,v,"The scandal precipitated a wave of resignations.","그 스캔들은 잇따른 사퇴를 촉발했다.","","","precipitate a crisis","위기를 촉발하다",5,
preclude,배제하다,v,"The contract precludes any side agreements.","그 계약은 어떤 부수적 합의도 배제한다.","","","preclude any doubt","어떤 의심도 배제하다",4,
predicament,곤경,n,"The delay put the whole team in a predicament.","그 지연은 팀 전체를 곤경에 빠뜨렸다.","","","difficult predicament","어려운 곤경",3,
predominant,지배적인,adj,"English remains the predominant work language.","영어는 여전히 지배적인 업무 언어다.","","","predominant view","지배적인 견해",4,
preposterous,터무니없는,adj,"The claim sounded preposterous to investors.","그 주장은 투자자들에게 터무니없게 들렸다.","","","preposterous idea","터무니없는 생각",3,
prerequisite,전제 조건,n,"Approval is a prerequisite for funding.","승인은 자금 지원의 전제 조건이다.","","","prerequisite for","~을 위한 전제 조건",3,
presumptuous,무례하게 나서는,adj,"It felt presumptuous to skip the review step.","검토 단계를 건너뛰는 것은 주제넘은 행동처럼 느껴졌다.","","","presumptuous request","무례하게 나서는 요청",5,
prevalent,널리 퍼진,adj,"Remote work is now prevalent across the industry.","원격 근무는 이제 업계 전반에 널리 퍼져 있다.","Superstitions are still prevalent in some rural areas.","일부 시골 지역에서는 여전히 미신이 널리 퍼져 있다.","prevalent among teens","십대들 사이에서 널리 퍼진",2,widespread
proactive,주도적인,adj,"The team took a proactive stance on security.","팀은 보안에 대해 주도적인 태도를 취했다.","Doctors encourage a proactive approach to preventing disease.","의사들은 질병 예방에 주도적인 접근을 권장한다.","proactive approach","선제적인(주도적인) 접근",2,
proficient,능숙한,adj,"She is proficient in three programming languages.","그녀는 세 가지 프로그래밍 언어에 능숙하다.","","","proficient in","~에 능숙한",3,
profound,깊은/심오한,adj,"The change had a profound effect on morale.","그 변화는 사기에 깊은 영향을 미쳤다.","","","profound impact","지대한 영향",3,
prolific,다작하는/풍부한,adj,"He is a prolific writer of internal reports.","그는 사내 보고서를 다작하는 작성자이다.","","","prolific writer","다작 작가",4,
propensity,경향/성향,n,"He has a propensity for overpromising deadlines.","그는 마감일을 과하게 약속하는 경향이 있다.","","","propensity for","~하는 성향",5,
prosaic,평범한,adj,"The pitch was competent but rather prosaic.","그 발표는 무난했지만 다소 평범했다.","","","prosaic explanation","평범한 설명",5,
prudent,신중한,adj,"It's prudent to keep some cash reserves.","현금 예비금을 어느 정도 보유하는 것이 신중한 처사다.","","","prudent decision","신중한 결정",3,
pungent,강한 냄새의/날카로운,adj,"His pungent criticism stung during the review.","그의 날카로운 비판은 검토 과정에서 뼈아프게 다가왔다.","","","pungent smell","톡 쏘는 냄새",3,
qualm,걱정/불안,n,"She had no qualms about rejecting the proposal.","그녀는 그 제안을 거절하는 데 아무런 거리낌이 없었다.","","","have qualms about","~에 대해 거리낌이 있다",3,
quandary,곤경/난처한 상황,n,"He was in a quandary over which vendor to pick.","그는 어느 업체를 선택할지 곤경에 빠져 있었다.","","","in a quandary","곤경에 처한",5,
